 Height(km) hr_clear(K/day)  hr_allsky(K/day)  cf (K/day)
22.20  -0.1063  -0.1417  -0.0310
22.30  -0.1044  -0.1391  -0.0305
22.40  -0.1023  -0.1362  -0.0299
22.50  -0.0999  -0.1331  -0.0293
22.60  -0.0974  -0.1298  -0.0286
22.70  -0.0948  -0.1264  -0.0280
22.80  -0.0920  -0.1227  -0.0273
22.90  -0.0892  -0.1190  -0.0267
23.00  -0.0863  -0.1153  -0.0259
23.10  -0.0835  -0.1115  -0.0252
23.20  -0.0807  -0.1078  -0.0245
23.30  -0.0780  -0.1041  -0.0237
23.40  -0.0755  -0.1007  -0.0229
23.50  -0.0734  -0.0975  -0.0221
23.60  -0.0718  -0.0950  -0.0212
23.70  -0.0706  -0.0927  -0.0203
23.80  -0.0666  -0.0876  -0.0194
23.90  -0.0598  -0.0794  -0.0184
24.00  -0.0522  -0.0704  -0.0175
24.10  -0.0450  -0.0618  -0.0165
24.20  -0.0382  -0.0535  -0.0154
24.30  -0.0318  -0.0457  -0.0144
24.40  -0.0260  -0.0384  -0.0133
24.50  -0.0204  -0.0314  -0.0121
24.60  -0.0148  -0.0243  -0.0110
24.70  -0.0093  -0.0173  -0.0098
24.80  -0.0041  -0.0105  -0.0086
24.90   0.0006  -0.0043  -0.0074
25.00   0.0046   0.0013  -0.0060
25.10   0.0081   0.0064  -0.0047
25.20   0.0109   0.0109  -0.0033
25.30   0.0132   0.0147  -0.0019
25.40   0.0146   0.0176  -0.0005
25.50   0.0154   0.0199   0.0009
25.60   0.0152   0.0213   0.0023
25.70   0.0143   0.0217   0.0038
25.80   0.0124   0.0212   0.0052
25.90   0.0095   0.0196   0.0066
26.00   0.0053   0.0167   0.0080
26.10  -0.0005   0.0120   0.0094
26.20  -0.0085   0.0051   0.0108
26.30  -0.0158  -0.0011   0.0122
26.40  -0.0167  -0.0006   0.0136
26.50  -0.0096   0.0084   0.0151
26.60   0.0036   0.0237   0.0165
26.70   0.0188   0.0412   0.0180
26.80   0.0338   0.0585   0.0194
26.90   0.0483   0.0751   0.0209
27.00   0.0622   0.0912   0.0223
27.10   0.0755   0.1066   0.0238
27.20   0.0882   0.1214   0.0252
27.30   0.1004   0.1356   0.0267
27.40   0.1119   0.1492   0.0281
27.50   0.1232   0.1624   0.0295
27.60   0.1341   0.1753   0.0309
27.70   0.1449   0.1880   0.0323
27.80   0.1553   0.2003   0.0337
27.90   0.1657   0.2126   0.0351
28.00   0.1761   0.2250   0.0364
28.10   0.1866   0.2374   0.0378
28.20   0.1968   0.2494   0.0392
28.30   0.2064   0.2609   0.0405
28.40   0.2153   0.2715   0.0418
28.50   0.2235   0.2814   0.0431
28.60   0.2310   0.2905   0.0443
28.70   0.2378   0.2988   0.0455
28.80   0.2438   0.3064   0.0467
28.90   0.2492   0.3132   0.0479
29.00   0.2540   0.3194   0.0490
29.10   0.2581   0.3248   0.0501
29.20   0.2616   0.3296   0.0512
29.30   0.2646   0.3337   0.0522
29.40   0.2670   0.3372   0.0532
29.50   0.2688   0.3401   0.0542
29.60   0.2701   0.3425   0.0551
29.70   0.2709   0.3443   0.0560
29.80   0.2713   0.3456   0.0569
29.90   0.2712   0.3463   0.0578
30.00   0.2707   0.3466   0.0586
