     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
21.80   0.0420  -0.1507  -0.1086
21.90   0.0433  -0.1517  -0.1084
22.00   0.0446  -0.1528  -0.1082
22.10   0.0460  -0.1537  -0.1077
22.20   0.0475  -0.1547  -0.1072
22.30   0.0490  -0.1558  -0.1068
22.40   0.0505  -0.1570  -0.1064
22.50   0.0522  -0.1583  -0.1060
22.60   0.0538  -0.1595  -0.1056
22.70   0.0557  -0.1609  -0.1052
22.80   0.0575  -0.1622  -0.1048
22.90   0.0594  -0.1637  -0.1043
23.00   0.0613  -0.1652  -0.1039
23.10   0.0632  -0.1668  -0.1035
23.20   0.0653  -0.1684  -0.1030
23.30   0.0674  -0.1699  -0.1025
23.40   0.0696  -0.1716  -0.1020
23.50   0.0718  -0.1732  -0.1014
23.60   0.0741  -0.1749  -0.1007
23.70   0.0764  -0.1764  -0.1001
23.80   0.0786  -0.1780  -0.0993
23.90   0.0811  -0.1796  -0.0985
24.00   0.0835  -0.1812  -0.0977
24.10   0.0859  -0.1827  -0.0968
24.20   0.0883  -0.1841  -0.0957
24.30   0.0908  -0.1855  -0.0947
24.40   0.0933  -0.1869  -0.0936
24.50   0.0958  -0.1882  -0.0923
24.60   0.0983  -0.1894  -0.0911
24.70   0.1007  -0.1905  -0.0898
24.80   0.1032  -0.1915  -0.0883
24.90   0.1057  -0.1923  -0.0865
25.00   0.1081  -0.1929  -0.0847
25.10   0.1106  -0.1933  -0.0828
25.20   0.1129  -0.1937  -0.0807
25.30   0.1154  -0.1941  -0.0787
25.40   0.1178  -0.1944  -0.0765
25.50   0.1200  -0.1945  -0.0744
25.60   0.1225  -0.1947  -0.0722
25.70   0.1248  -0.1947  -0.0699
25.80   0.1269  -0.1948  -0.0677
25.90   0.1292  -0.1947  -0.0655
26.00   0.1314  -0.1945  -0.0632
26.10   0.1336  -0.1944  -0.0608
26.20   0.1357  -0.1942  -0.0584
26.30   0.1379  -0.1941  -0.0562
26.40   0.1401  -0.1940  -0.0538
26.50   0.1425  -0.1941  -0.0515
26.60   0.1450  -0.1942  -0.0492
26.70   0.1475  -0.1943  -0.0470
26.80   0.1498  -0.1944  -0.0445
26.90   0.1522  -0.1944  -0.0422
27.00   0.1547  -0.1944  -0.0399
27.10   0.1570  -0.1944  -0.0375
27.20   0.1594  -0.1943  -0.0350
27.30   0.1616  -0.1943  -0.0326
27.40   0.1639  -0.1940  -0.0302
27.50   0.1660  -0.1938  -0.0279
27.60   0.1681  -0.1935  -0.0254
27.70   0.1701  -0.1932  -0.0230
27.80   0.1722  -0.1928  -0.0206
27.90   0.1742  -0.1922  -0.0181
28.00   0.1761  -0.1916  -0.0155
28.10   0.1778  -0.1909  -0.0130
28.20   0.1796  -0.1900  -0.0105
28.30   0.1813  -0.1893  -0.0080
28.40   0.1829  -0.1885  -0.0056
28.50   0.1845  -0.1877  -0.0031
28.60   0.1861  -0.1867  -0.0007
28.70   0.1873  -0.1857   0.0016
28.80   0.1887  -0.1848   0.0039
28.90   0.1899  -0.1838   0.0062
29.00   0.1914  -0.1828   0.0085
29.10   0.1925  -0.1818   0.0106
29.20   0.1935  -0.1808   0.0129
29.30   0.1946  -0.1797   0.0149
29.40   0.1955  -0.1785   0.0170
29.50   0.1965  -0.1774   0.0191
29.60   0.1973  -0.1763   0.0210
29.70   0.1981  -0.1752   0.0230
29.80   0.1989  -0.1740   0.0249
29.90   0.1996  -0.1729   0.0266
30.00   0.2001  -0.1717   0.0285
