#of levels:        295
base height:     0.10933494
altitude (km)    pressure (hPa)  temperature (K)  water vapor mixing ratio (kg/kg) ozone mixing ratio(kg/kg)
       17.832153      80.4596       195.96944   2.2063230e-06   3.7619512e-07
       17.755739      81.5396       195.66709   2.2253921e-06   3.5417370e-07
       17.679436      82.6341       195.38392   2.2475768e-06   3.3374431e-07
       17.603243      83.7432       195.11974   2.2750850e-06   3.1418918e-07
       17.527151      84.8673       194.86357   2.3068532e-06   2.9631099e-07
       17.451152      86.0064       194.64232   2.3367179e-06   2.7978899e-07
       17.375231      87.1609       194.46399   2.3550351e-06   2.6434705e-07
       17.299375      88.3308       194.30702   2.3436593e-06   2.5013486e-07
       17.223576      89.5164       194.17324   2.3516198e-06   2.3676083e-07
       17.147826      90.7180       194.05947   2.3650405e-06   2.2457474e-07
       17.072114      91.9356       193.97520   2.3747302e-06   2.1369991e-07
       16.996423      93.1696       193.95293   2.3964257e-06   2.0375579e-07
       16.920738      94.4202       193.94301   2.4298005e-06   1.9464809e-07
       16.845049      95.6876       193.97505   2.4664220e-06   1.8613517e-07
       16.769344      96.9720       194.02567   2.5094466e-06   1.7845027e-07
       16.693613      98.2736       194.10409   2.5661294e-06   1.7153869e-07
       16.617847      99.5927       194.21368   2.6205023e-06   1.6525269e-07
       16.542031      100.929       194.35283   2.6785044e-06   1.5923205e-07
       16.466155      102.284       194.52358   2.7288945e-06   1.5401510e-07
       16.390209      103.657       194.71408   2.7959256e-06   1.4942530e-07
       16.314181      105.048       194.93742   2.8694140e-06   1.4517367e-07
       16.238064      106.458       195.18005   2.9536298e-06   1.4102820e-07
       16.161850      107.887       195.42461   3.0493240e-06   1.3716636e-07
       16.085535      109.336       195.70190   3.1473748e-06   1.3361518e-07
       16.009108      110.803       195.99764   3.2764873e-06   1.2988615e-07
       15.932564      112.290       196.30201   3.3848642e-06   1.2682019e-07
       15.855898      113.798       196.62190   3.4963719e-06   1.2401362e-07
       15.779103      115.325       196.96138   3.6115322e-06   1.2141372e-07
       15.702172      116.873       197.32081   3.7541668e-06   1.1907560e-07
       15.625098      118.442       197.69646   3.9002839e-06   1.1699011e-07
       15.547875      120.032       198.08252   4.0648206e-06   1.1511690e-07
       15.470500      121.643       198.47700   4.2294664e-06   1.1328072e-07
       15.392969      123.275       198.88529   4.4176821e-06   1.1146962e-07
       15.315275      124.930       199.30838   4.6149120e-06   1.0987240e-07
       15.237413      126.607       199.74586   4.8499510e-06   1.0817838e-07
       15.159378      128.306       200.19460   5.1306638e-06   1.0650071e-07
