     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
27.90   0.1623  -0.1810  -0.0189
28.00   0.1640  -0.1805  -0.0165
28.10   0.1657  -0.1798  -0.0141
28.20   0.1673  -0.1790  -0.0118
28.30   0.1689  -0.1784  -0.0095
28.40   0.1704  -0.1776  -0.0072
28.50   0.1719  -0.1768  -0.0048
28.60   0.1734  -0.1759  -0.0026
28.70   0.1745  -0.1750  -0.0005
28.80   0.1758  -0.1741   0.0017
28.90   0.1770  -0.1732   0.0038
29.00   0.1783  -0.1723   0.0060
29.10   0.1794  -0.1713   0.0080
29.20   0.1803  -0.1703   0.0101
29.30   0.1813  -0.1693   0.0121
29.40   0.1822  -0.1682   0.0140
29.50   0.1831  -0.1672   0.0160
29.60   0.1839  -0.1661   0.0178
29.70   0.1847  -0.1651   0.0196
29.80   0.1854  -0.1640   0.0214
29.90   0.1861  -0.1629   0.0230
30.00   0.1865  -0.1618   0.0248
