     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
24.50   0.1048  -0.2131  -0.1084
24.60   0.1075  -0.2146  -0.1070
24.70   0.1103  -0.2158  -0.1058
24.80   0.1129  -0.2169  -0.1040
24.90   0.1156  -0.2178  -0.1021
25.00   0.1183  -0.2186  -0.1002
25.10   0.1212  -0.2193  -0.0981
25.20   0.1239  -0.2199  -0.0961
25.30   0.1265  -0.2203  -0.0938
25.40   0.1292  -0.2209  -0.0916
25.50   0.1318  -0.2212  -0.0892
25.60   0.1346  -0.2217  -0.0871
25.70   0.1372  -0.2218  -0.0846
25.80   0.1396  -0.2220  -0.0823
25.90   0.1424  -0.2222  -0.0798
26.00   0.1449  -0.2224  -0.0775
26.10   0.1475  -0.2223  -0.0747
26.20   0.1499  -0.2224  -0.0723
26.30   0.1527  -0.2227  -0.0700
26.40   0.1555  -0.2232  -0.0674
26.50   0.1585  -0.2235  -0.0650
26.60   0.1614  -0.2240  -0.0625
26.70   0.1644  -0.2244  -0.0601
26.80   0.1672  -0.2247  -0.0575
26.90   0.1701  -0.2248  -0.0550
27.00   0.1729  -0.2251  -0.0524
27.10   0.1758  -0.2253  -0.0498
27.20   0.1785  -0.2254  -0.0471
27.30   0.1812  -0.2257  -0.0444
27.40   0.1838  -0.2254  -0.0418
27.50   0.1864  -0.2254  -0.0391
27.60   0.1888  -0.2252  -0.0364
27.70   0.1913  -0.2251  -0.0336
27.80   0.1938  -0.2247  -0.0309
27.90   0.1963  -0.2239  -0.0280
28.00   0.1985  -0.2234  -0.0249
28.10   0.2006  -0.2227  -0.0221
28.20   0.2027  -0.2219  -0.0192
28.30   0.2048  -0.2212  -0.0164
28.40   0.2068  -0.2203  -0.0136
28.50   0.2086  -0.2196  -0.0107
28.60   0.2106  -0.2186  -0.0080
28.70   0.2122  -0.2175  -0.0054
28.80   0.2139  -0.2166  -0.0027
28.90   0.2156  -0.2157  -0.0001
29.00   0.2172  -0.2146   0.0025
29.10   0.2189  -0.2136   0.0050
29.20   0.2201  -0.2124   0.0077
29.30   0.2211  -0.2113   0.0102
29.40   0.2226  -0.2101   0.0125
29.50   0.2238  -0.2091   0.0151
29.60   0.2248  -0.2078   0.0171
29.70   0.2259  -0.2067   0.0197
29.80   0.2272  -0.2054   0.0218
29.90   0.2282  -0.2043   0.0239
30.00   0.2291  -0.2030   0.0261
