     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
21.60   0.0342  -0.1330  -0.0988
21.70   0.0354  -0.1340  -0.0988
21.80   0.0365  -0.1350  -0.0987
21.90   0.0376  -0.1361  -0.0988
22.00   0.0387  -0.1373  -0.0987
22.10   0.0398  -0.1386  -0.0986
22.20   0.0413  -0.1398  -0.0985
22.30   0.0427  -0.1412  -0.0983
22.40   0.0442  -0.1426  -0.0983
22.50   0.0456  -0.1443  -0.0984
22.60   0.0474  -0.1458  -0.0984
22.70   0.0492  -0.1474  -0.0983
22.80   0.0509  -0.1492  -0.0983
22.90   0.0527  -0.1511  -0.0983
23.00   0.0547  -0.1530  -0.0982
23.10   0.0566  -0.1550  -0.0983
23.20   0.0586  -0.1571  -0.0981
23.30   0.0607  -0.1589  -0.0980
23.40   0.0630  -0.1609  -0.0980
23.50   0.0652  -0.1629  -0.0979
23.60   0.0674  -0.1650  -0.0976
23.70   0.0698  -0.1672  -0.0974
23.80   0.0722  -0.1693  -0.0971
23.90   0.0748  -0.1716  -0.0967
24.00   0.0773  -0.1738  -0.0965
24.10   0.0799  -0.1759  -0.0959
24.20   0.0825  -0.1778  -0.0955
24.30   0.0850  -0.1800  -0.0947
24.40   0.0876  -0.1818  -0.0940
24.50   0.0903  -0.1835  -0.0932
24.60   0.0929  -0.1852  -0.0924
24.70   0.0954  -0.1866  -0.0914
24.80   0.0980  -0.1882  -0.0901
24.90   0.1007  -0.1892  -0.0885
25.00   0.1031  -0.1900  -0.0870
25.10   0.1057  -0.1907  -0.0851
25.20   0.1080  -0.1914  -0.0832
25.30   0.1104  -0.1919  -0.0814
25.40   0.1129  -0.1923  -0.0794
25.50   0.1151  -0.1926  -0.0775
25.60   0.1174  -0.1928  -0.0752
25.70   0.1196  -0.1927  -0.0731
25.80   0.1218  -0.1929  -0.0710
25.90   0.1238  -0.1928  -0.0688
26.00   0.1261  -0.1928  -0.0666
26.10   0.1280  -0.1924  -0.0643
26.20   0.1302  -0.1922  -0.0620
26.30   0.1321  -0.1919  -0.0598
26.40   0.1342  -0.1918  -0.0576
26.50   0.1364  -0.1917  -0.0554
26.60   0.1385  -0.1917  -0.0531
26.70   0.1409  -0.1916  -0.0509
26.80   0.1429  -0.1914  -0.0487
26.90   0.1449  -0.1913  -0.0463
27.00   0.1473  -0.1911  -0.0441
27.10   0.1491  -0.1911  -0.0419
27.20   0.1511  -0.1906  -0.0395
27.30   0.1530  -0.1901  -0.0372
27.40   0.1550  -0.1897  -0.0348
27.50   0.1566  -0.1892  -0.0327
27.60   0.1586  -0.1888  -0.0304
27.70   0.1601  -0.1883  -0.0280
27.80   0.1618  -0.1877  -0.0260
27.90   0.1635  -0.1868  -0.0236
28.00   0.1652  -0.1861  -0.0210
28.10   0.1666  -0.1852  -0.0186
28.20   0.1680  -0.1842  -0.0163
28.30   0.1693  -0.1833  -0.0140
28.40   0.1705  -0.1824  -0.0118
28.50   0.1719  -0.1813  -0.0095
28.60   0.1732  -0.1802  -0.0074
28.70   0.1741  -0.1792  -0.0052
28.80   0.1749  -0.1782  -0.0030
28.90   0.1759  -0.1770  -0.0009
29.00   0.1772  -0.1759   0.0011
29.10   0.1780  -0.1748   0.0030
29.20   0.1787  -0.1737   0.0052
29.30   0.1796  -0.1724   0.0071
29.40   0.1800  -0.1711   0.0089
29.50   0.1809  -0.1700   0.0108
29.60   0.1816  -0.1687   0.0126
29.70   0.1822  -0.1676   0.0144
29.80   0.1825  -0.1664   0.0161
29.90   0.1828  -0.1652   0.0176
30.00   0.1831  -0.1640   0.0193
