     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
23.50   0.0560  -0.1328  -0.0767
23.60   0.0577  -0.1339  -0.0761
23.70   0.0595  -0.1347  -0.0756
23.80   0.0610  -0.1358  -0.0747
23.90   0.0628  -0.1370  -0.0739
24.00   0.0647  -0.1379  -0.0731
24.10   0.0665  -0.1387  -0.0723
24.20   0.0680  -0.1397  -0.0714
24.30   0.0699  -0.1406  -0.0704
24.40   0.0719  -0.1414  -0.0696
24.50   0.0737  -0.1423  -0.0685
24.60   0.0755  -0.1430  -0.0674
24.70   0.0772  -0.1436  -0.0663
24.80   0.0792  -0.1444  -0.0652
24.90   0.0809  -0.1449  -0.0639
25.00   0.0826  -0.1454  -0.0626
25.10   0.0845  -0.1456  -0.0611
25.20   0.0864  -0.1459  -0.0595
25.30   0.0883  -0.1461  -0.0579
25.40   0.0899  -0.1463  -0.0561
25.50   0.0917  -0.1463  -0.0546
25.60   0.0936  -0.1463  -0.0528
25.70   0.0953  -0.1462  -0.0512
25.80   0.0969  -0.1463  -0.0494
25.90   0.0985  -0.1460  -0.0476
26.00   0.1003  -0.1459  -0.0457
26.10   0.1019  -0.1459  -0.0441
26.20   0.1034  -0.1457  -0.0421
26.30   0.1049  -0.1455  -0.0403
26.40   0.1066  -0.1450  -0.0384
26.50   0.1082  -0.1450  -0.0367
26.60   0.1100  -0.1448  -0.0349
26.70   0.1117  -0.1447  -0.0331
26.80   0.1136  -0.1448  -0.0311
26.90   0.1153  -0.1448  -0.0295
27.00   0.1173  -0.1448  -0.0276
27.10   0.1190  -0.1447  -0.0257
27.20   0.1208  -0.1446  -0.0238
27.30   0.1225  -0.1446  -0.0219
27.40   0.1243  -0.1444  -0.0202
27.50   0.1260  -0.1443  -0.0183
27.60   0.1276  -0.1440  -0.0163
27.70   0.1291  -0.1437  -0.0145
27.80   0.1308  -0.1436  -0.0126
27.90   0.1321  -0.1431  -0.0109
28.00   0.1338  -0.1427  -0.0090
28.10   0.1351  -0.1421  -0.0072
28.20   0.1365  -0.1416  -0.0052
28.30   0.1379  -0.1410  -0.0032
28.40   0.1392  -0.1405  -0.0011
28.50   0.1405  -0.1399   0.0007
28.60   0.1418  -0.1392   0.0025
28.70   0.1427  -0.1385   0.0043
28.80   0.1441  -0.1379   0.0062
28.90   0.1450  -0.1371   0.0079
29.00   0.1460  -0.1364   0.0098
29.10   0.1470  -0.1354   0.0114
29.20   0.1478  -0.1348   0.0132
29.30   0.1489  -0.1340   0.0148
29.40   0.1497  -0.1333   0.0165
29.50   0.1501  -0.1322   0.0182
29.60   0.1512  -0.1313   0.0197
29.70   0.1517  -0.1306   0.0211
29.80   0.1525  -0.1297   0.0227
29.90   0.1532  -0.1289   0.0241
30.00   0.1535  -0.1281   0.0256
