     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
27.30   0.1277  -0.1108   0.0169
27.40   0.1295  -0.1108   0.0188
27.50   0.1313  -0.1107   0.0206
27.60   0.1331  -0.1106   0.0225
27.70   0.1348  -0.1105   0.0243
27.80   0.1364  -0.1102   0.0262
27.90   0.1380  -0.1099   0.0281
28.00   0.1395  -0.1096   0.0300
28.10   0.1410  -0.1093   0.0318
28.20   0.1425  -0.1089   0.0336
28.30   0.1440  -0.1085   0.0354
28.40   0.1453  -0.1080   0.0372
28.50   0.1466  -0.1076   0.0390
28.60   0.1478  -0.1071   0.0407
28.70   0.1490  -0.1066   0.0423
28.80   0.1502  -0.1062   0.0440
28.90   0.1513  -0.1057   0.0457
29.00   0.1523  -0.1052   0.0472
29.10   0.1534  -0.1046   0.0487
29.20   0.1544  -0.1041   0.0502
29.30   0.1552  -0.1036   0.0517
29.40   0.1560  -0.1030   0.0531
29.50   0.1568  -0.1024   0.0545
29.60   0.1576  -0.1018   0.0558
29.70   0.1583  -0.1012   0.0572
29.80   0.1590  -0.1006   0.0584
29.90   0.1597  -0.1000   0.0596
30.00   0.1603  -0.0994   0.0609
