     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
26.90   0.0783  -0.0714   0.0068
27.00   0.0794  -0.0713   0.0081
27.10   0.0806  -0.0713   0.0093
27.20   0.0818  -0.0713   0.0105
27.30   0.0829  -0.0712   0.0117
27.40   0.0841  -0.0711   0.0129
27.50   0.0852  -0.0710   0.0141
27.60   0.0863  -0.0709   0.0153
27.70   0.0873  -0.0708   0.0165
27.80   0.0883  -0.0707   0.0177
27.90   0.0893  -0.0705   0.0188
28.00   0.0903  -0.0703   0.0200
28.10   0.0913  -0.0701   0.0212
28.20   0.0922  -0.0697   0.0224
28.30   0.0931  -0.0695   0.0236
28.40   0.0939  -0.0692   0.0247
28.50   0.0948  -0.0689   0.0259
28.60   0.0955  -0.0686   0.0269
28.70   0.0963  -0.0683   0.0281
28.80   0.0971  -0.0680   0.0292
28.90   0.0978  -0.0676   0.0302
29.00   0.0985  -0.0673   0.0312
29.10   0.0992  -0.0668   0.0322
29.20   0.0997  -0.0665   0.0332
29.30   0.1003  -0.0662   0.0342
29.40   0.1009  -0.0658   0.0351
29.50   0.1013  -0.0654   0.0360
29.60   0.1019  -0.0649   0.0369
29.70   0.1024  -0.0646   0.0377
29.80   0.1028  -0.0642   0.0386
29.90   0.1033  -0.0638   0.0394
30.00   0.1035  -0.0634   0.0402
