     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
23.50   0.0488  -0.0976  -0.0488
23.60   0.0504  -0.0985  -0.0482
23.70   0.0520  -0.0995  -0.0475
23.80   0.0537  -0.1004  -0.0468
23.90   0.0554  -0.1015  -0.0461
24.00   0.0571  -0.1024  -0.0453
24.10   0.0588  -0.1033  -0.0445
24.20   0.0605  -0.1042  -0.0437
24.30   0.0623  -0.1051  -0.0428
24.40   0.0640  -0.1059  -0.0418
24.50   0.0658  -0.1066  -0.0408
24.60   0.0675  -0.1074  -0.0398
24.70   0.0693  -0.1080  -0.0387
24.80   0.0710  -0.1086  -0.0376
24.90   0.0727  -0.1089  -0.0363
25.00   0.0743  -0.1092  -0.0349
25.10   0.0760  -0.1094  -0.0335
25.20   0.0776  -0.1096  -0.0320
25.30   0.0792  -0.1097  -0.0305
25.40   0.0808  -0.1098  -0.0289
25.50   0.0823  -0.1097  -0.0275
25.60   0.0839  -0.1097  -0.0259
25.70   0.0853  -0.1097  -0.0243
25.80   0.0868  -0.1096  -0.0227
25.90   0.0882  -0.1094  -0.0212
26.00   0.0896  -0.1093  -0.0197
26.10   0.0910  -0.1090  -0.0181
26.20   0.0923  -0.1088  -0.0165
26.30   0.0936  -0.1086  -0.0150
26.40   0.0950  -0.1084  -0.0134
26.50   0.0966  -0.1083  -0.0118
26.60   0.0979  -0.1083  -0.0102
26.70   0.0995  -0.1082  -0.0087
26.80   0.1009  -0.1080  -0.0071
26.90   0.1024  -0.1079  -0.0055
27.00   0.1038  -0.1077  -0.0040
27.10   0.1052  -0.1076  -0.0024
27.20   0.1065  -0.1074  -0.0008
27.30   0.1078  -0.1072   0.0007
27.40   0.1092  -0.1069   0.0023
27.50   0.1104  -0.1066   0.0037
27.60   0.1116  -0.1063   0.0052
27.70   0.1128  -0.1060   0.0067
27.80   0.1140  -0.1056   0.0083
27.90   0.1150  -0.1052   0.0098
28.00   0.1161  -0.1047   0.0114
28.10   0.1171  -0.1042   0.0129
28.20   0.1182  -0.1037   0.0144
28.30   0.1189  -0.1032   0.0158
28.40   0.1199  -0.1026   0.0173
28.50   0.1207  -0.1021   0.0187
28.60   0.1215  -0.1015   0.0201
28.70   0.1223  -0.1009   0.0214
28.80   0.1230  -0.1003   0.0228
28.90   0.1236  -0.0996   0.0241
29.00   0.1244  -0.0990   0.0254
29.10   0.1250  -0.0984   0.0266
29.20   0.1256  -0.0977   0.0278
29.30   0.1261  -0.0971   0.0290
29.40   0.1265  -0.0964   0.0301
29.50   0.1269  -0.0958   0.0312
29.60   0.1274  -0.0951   0.0323
29.70   0.1277  -0.0944   0.0333
29.80   0.1281  -0.0937   0.0344
29.90   0.1284  -0.0931   0.0353
30.00   0.1286  -0.0924   0.0363
