     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
24.70   0.0922  -0.1698  -0.0775
24.80   0.0942  -0.1703  -0.0761
24.90   0.0963  -0.1708  -0.0744
25.00   0.0984  -0.1710  -0.0725
25.10   0.1004  -0.1711  -0.0706
25.20   0.1024  -0.1710  -0.0687
25.30   0.1045  -0.1713  -0.0666
25.40   0.1065  -0.1712  -0.0647
25.50   0.1084  -0.1710  -0.0626
25.60   0.1105  -0.1709  -0.0605
25.70   0.1125  -0.1710  -0.0583
25.80   0.1143  -0.1709  -0.0564
25.90   0.1162  -0.1706  -0.0543
26.00   0.1182  -0.1702  -0.0522
26.10   0.1199  -0.1700  -0.0499
26.20   0.1218  -0.1697  -0.0479
26.30   0.1238  -0.1693  -0.0459
26.40   0.1255  -0.1691  -0.0437
26.50   0.1276  -0.1693  -0.0416
26.60   0.1300  -0.1694  -0.0395
26.70   0.1320  -0.1695  -0.0375
26.80   0.1342  -0.1697  -0.0354
26.90   0.1366  -0.1697  -0.0332
27.00   0.1388  -0.1698  -0.0312
27.10   0.1408  -0.1698  -0.0290
27.20   0.1431  -0.1699  -0.0269
27.30   0.1452  -0.1698  -0.0247
27.40   0.1471  -0.1697  -0.0224
27.50   0.1492  -0.1696  -0.0204
27.60   0.1511  -0.1694  -0.0182
27.70   0.1529  -0.1692  -0.0160
27.80   0.1550  -0.1689  -0.0140
27.90   0.1568  -0.1685  -0.0118
28.00   0.1585  -0.1679  -0.0094
28.10   0.1601  -0.1675  -0.0072
28.20   0.1618  -0.1667  -0.0050
28.30   0.1633  -0.1662  -0.0027
28.40   0.1648  -0.1655  -0.0006
28.50   0.1662  -0.1648   0.0017
28.60   0.1678  -0.1639   0.0038
28.70   0.1689  -0.1630   0.0058
28.80   0.1702  -0.1623   0.0079
28.90   0.1713  -0.1614   0.0099
29.00   0.1727  -0.1605   0.0120
29.10   0.1734  -0.1596   0.0139
29.20   0.1745  -0.1587   0.0159
29.30   0.1756  -0.1578   0.0176
29.40   0.1763  -0.1567   0.0195
29.50   0.1773  -0.1559   0.0214
29.60   0.1778  -0.1549   0.0231
29.70   0.1787  -0.1539   0.0247
29.80   0.1792  -0.1527   0.0264
29.90   0.1799  -0.1518   0.0280
30.00   0.1801  -0.1508   0.0295
