    height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
26.60   0.0982  -0.0974   0.0008
26.70   0.0998  -0.0974   0.0024
26.80   0.1014  -0.0974   0.0040
26.90   0.1030  -0.0973   0.0056
27.00   0.1045  -0.0973   0.0072
27.10   0.1061  -0.0972   0.0088
27.20   0.1076  -0.0972   0.0104
27.30   0.1090  -0.0970   0.0120
27.40   0.1105  -0.0969   0.0136
27.50   0.1119  -0.0968   0.0151
27.60   0.1133  -0.0966   0.0167
27.70   0.1146  -0.0964   0.0182
27.80   0.1159  -0.0961   0.0198
27.90   0.1172  -0.0958   0.0214
28.00   0.1184  -0.0955   0.0229
28.10   0.1196  -0.0951   0.0245
28.20   0.1208  -0.0947   0.0260
28.30   0.1219  -0.0943   0.0276
28.40   0.1229  -0.0939   0.0290
28.50   0.1239  -0.0934   0.0305
28.60   0.1249  -0.0930   0.0319
28.70   0.1258  -0.0925   0.0333
28.80   0.1267  -0.0920   0.0347
28.90   0.1276  -0.0915   0.0361
29.00   0.1284  -0.0910   0.0374
29.10   0.1291  -0.0904   0.0387
29.20   0.1299  -0.0899   0.0399
29.30   0.1305  -0.0894   0.0411
29.40   0.1311  -0.0888   0.0423
29.50   0.1317  -0.0883   0.0435
29.60   0.1323  -0.0877   0.0446
29.70   0.1328  -0.0872   0.0456
29.80   0.1333  -0.0866   0.0467
29.90   0.1338  -0.0860   0.0477
30.00   0.1341  -0.0854   0.0487
