     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
21.00   0.0317  -0.1389  -0.1072
21.10   0.0325  -0.1391  -0.1066
21.20   0.0332  -0.1393  -0.1061
21.30   0.0342  -0.1398  -0.1057
21.40   0.0349  -0.1404  -0.1054
21.50   0.0357  -0.1410  -0.1052
21.60   0.0369  -0.1417  -0.1049
21.70   0.0382  -0.1428  -0.1048
21.80   0.0394  -0.1438  -0.1047
21.90   0.0405  -0.1451  -0.1048
22.00   0.0417  -0.1463  -0.1047
22.10   0.0429  -0.1476  -0.1045
22.20   0.0445  -0.1490  -0.1044
22.30   0.0460  -0.1504  -0.1043
22.40   0.0476  -0.1520  -0.1042
22.50   0.0492  -0.1537  -0.1043
22.60   0.0511  -0.1554  -0.1043
22.70   0.0530  -0.1571  -0.1042
22.80   0.0549  -0.1590  -0.1041
22.90   0.0569  -0.1611  -0.1041
23.00   0.0590  -0.1631  -0.1041
23.10   0.0610  -0.1652  -0.1041
23.20   0.0632  -0.1675  -0.1039
23.30   0.0655  -0.1694  -0.1038
23.40   0.0679  -0.1716  -0.1037
23.50   0.0704  -0.1737  -0.1035
23.60   0.0727  -0.1760  -0.1032
23.70   0.0753  -0.1783  -0.1030
23.80   0.0779  -0.1806  -0.1027
23.90   0.0807  -0.1830  -0.1022
24.00   0.0834  -0.1854  -0.1019
24.10   0.0863  -0.1877  -0.1013
24.20   0.0890  -0.1897  -0.1008
24.30   0.0918  -0.1920  -0.1000
24.40   0.0946  -0.1940  -0.0992
24.50   0.0974  -0.1958  -0.0984
24.60   0.1003  -0.1977  -0.0974
24.70   0.1030  -0.1992  -0.0963
24.80   0.1059  -0.2008  -0.0949
24.90   0.1087  -0.2019  -0.0932
25.00   0.1114  -0.2027  -0.0915
25.10   0.1141  -0.2035  -0.0895
25.20   0.1166  -0.2042  -0.0874
25.30   0.1193  -0.2048  -0.0854
25.40   0.1220  -0.2052  -0.0833
25.50   0.1244  -0.2056  -0.0812
25.60   0.1268  -0.2058  -0.0788
25.70   0.1292  -0.2057  -0.0765
25.80   0.1316  -0.2059  -0.0742
25.90   0.1338  -0.2057  -0.0719
26.00   0.1362  -0.2058  -0.0695
26.10   0.1383  -0.2053  -0.0670
26.20   0.1406  -0.2052  -0.0646
26.30   0.1426  -0.2048  -0.0622
26.40   0.1449  -0.2047  -0.0598
26.50   0.1473  -0.2046  -0.0574
26.60   0.1496  -0.2046  -0.0549
26.70   0.1522  -0.2045  -0.0526
26.80   0.1543  -0.2043  -0.0501
26.90   0.1565  -0.2042  -0.0476
27.00   0.1590  -0.2040  -0.0452
27.10   0.1610  -0.2039  -0.0428
27.20   0.1632  -0.2034  -0.0402
27.30   0.1652  -0.2029  -0.0378
27.40   0.1673  -0.2025  -0.0352
27.50   0.1691  -0.2019  -0.0329
27.60   0.1712  -0.2014  -0.0304
27.70   0.1728  -0.2009  -0.0279
27.80   0.1747  -0.2003  -0.0257
27.90   0.1765  -0.1994  -0.0231
28.00   0.1783  -0.1985  -0.0204
28.10   0.1798  -0.1976  -0.0178
28.20   0.1813  -0.1965  -0.0153
28.30   0.1827  -0.1956  -0.0129
28.40   0.1841  -0.1946  -0.0105
28.50   0.1855  -0.1935  -0.0080
28.60   0.1868  -0.1923  -0.0057
28.70   0.1879  -0.1912  -0.0034
28.80   0.1887  -0.1901  -0.0011
28.90   0.1898  -0.1888   0.0012
29.00   0.1912  -0.1877   0.0034
29.10   0.1921  -0.1865   0.0054
29.20   0.1928  -0.1853   0.0077
29.30   0.1938  -0.1839   0.0097
29.40   0.1942  -0.1826   0.0117
29.50   0.1952  -0.1814   0.0137
29.60   0.1959  -0.1800   0.0156
29.70   0.1965  -0.1788   0.0176
29.80   0.1969  -0.1775   0.0194
29.90   0.1972  -0.1763   0.0210
30.00   0.1976  -0.1749   0.0228
