     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
23.80   0.0577  -0.1065  -0.0489
23.90   0.0595  -0.1075  -0.0481
24.00   0.0614  -0.1086  -0.0472
24.10   0.0632  -0.1096  -0.0463
24.20   0.0650  -0.1105  -0.0454
24.30   0.0669  -0.1115  -0.0445
24.40   0.0688  -0.1123  -0.0434
24.50   0.0707  -0.1131  -0.0424
24.60   0.0726  -0.1139  -0.0412
24.70   0.0744  -0.1145  -0.0401
24.80   0.0763  -0.1151  -0.0388
24.90   0.0781  -0.1155  -0.0374
25.00   0.0799  -0.1158  -0.0359
25.10   0.0817  -0.1160  -0.0344
25.20   0.0835  -0.1163  -0.0328
25.30   0.0851  -0.1164  -0.0312
25.40   0.0869  -0.1164  -0.0295
25.50   0.0885  -0.1164  -0.0280
25.60   0.0902  -0.1164  -0.0262
25.70   0.0918  -0.1163  -0.0245
25.80   0.0933  -0.1163  -0.0229
25.90   0.0948  -0.1161  -0.0212
26.00   0.0964  -0.1159  -0.0196
26.10   0.0978  -0.1157  -0.0178
26.20   0.0992  -0.1154  -0.0162
26.30   0.1007  -0.1152  -0.0145
26.40   0.1022  -0.1150  -0.0128
26.50   0.1038  -0.1149  -0.0111
26.60   0.1053  -0.1148  -0.0094
26.70   0.1070  -0.1147  -0.0078
26.80   0.1085  -0.1146  -0.0061
26.90   0.1101  -0.1145  -0.0044
27.00   0.1116  -0.1143  -0.0027
27.10   0.1131  -0.1142  -0.0011
27.20   0.1146  -0.1140   0.0006
27.30   0.1159  -0.1137   0.0023
27.40   0.1174  -0.1134   0.0040
27.50   0.1187  -0.1131   0.0056
27.60   0.1200  -0.1128   0.0072
27.70   0.1213  -0.1125   0.0088
27.80   0.1225  -0.1121   0.0104
27.90   0.1237  -0.1116   0.0121
28.00   0.1248  -0.1111   0.0137
28.10   0.1259  -0.1106   0.0153
28.20   0.1271  -0.1100   0.0170
28.30   0.1279  -0.1094   0.0185
28.40   0.1290  -0.1089   0.0201
28.50   0.1298  -0.1083   0.0216
28.60   0.1307  -0.1076   0.0230
28.70   0.1315  -0.1070   0.0245
28.80   0.1323  -0.1064   0.0259
28.90   0.1330  -0.1057   0.0273
29.00   0.1338  -0.1050   0.0287
29.10   0.1344  -0.1043   0.0300
29.20   0.1350  -0.1037   0.0313
29.30   0.1355  -0.1030   0.0325
29.40   0.1360  -0.1023   0.0337
29.50   0.1365  -0.1016   0.0349
29.60   0.1370  -0.1009   0.0361
29.70   0.1373  -0.1002   0.0372
29.80   0.1377  -0.0995   0.0383
29.90   0.1380  -0.0987   0.0393
30.00   0.1383  -0.0980   0.0403
