     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
28.30   0.1455  -0.1465  -0.0011
28.40   0.1469  -0.1460   0.0011
28.50   0.1482  -0.1453   0.0030
28.60   0.1496  -0.1446   0.0049
28.70   0.1505  -0.1438   0.0068
28.80   0.1521  -0.1432   0.0088
28.90   0.1530  -0.1424   0.0106
29.00   0.1541  -0.1417   0.0125
29.10   0.1551  -0.1407   0.0142
29.20   0.1559  -0.1400   0.0161
29.30   0.1570  -0.1392   0.0178
29.40   0.1579  -0.1385   0.0195
29.50   0.1584  -0.1373   0.0213
29.60   0.1595  -0.1364   0.0229
29.70   0.1601  -0.1357   0.0244
29.80   0.1608  -0.1348   0.0260
29.90   0.1616  -0.1339   0.0275
30.00   0.1620  -0.1330   0.0290
