     height (km) solar hr (K/day)    IR hr (K/day)   Net hr (K/day)
25.00   0.0596  -0.0749  -0.0153
25.10   0.0609  -0.0750  -0.0142
25.20   0.0621  -0.0751  -0.0129
25.30   0.0633  -0.0750  -0.0117
25.40   0.0645  -0.0750  -0.0104
25.50   0.0657  -0.0750  -0.0092
25.60   0.0669  -0.0750  -0.0079
25.70   0.0681  -0.0749  -0.0068
25.80   0.0693  -0.0748  -0.0056
25.90   0.0705  -0.0747  -0.0043
26.00   0.0716  -0.0746  -0.0030
26.10   0.0727  -0.0746  -0.0017
26.20   0.0738  -0.0744  -0.0006
26.30   0.0749  -0.0743   0.0007
26.40   0.0760  -0.0741   0.0019
26.50   0.0772  -0.0740   0.0032
26.60   0.0783  -0.0739   0.0044
26.70   0.0795  -0.0738   0.0057
26.80   0.0808  -0.0738   0.0070
26.90   0.0820  -0.0738   0.0082
27.00   0.0833  -0.0737   0.0095
27.10   0.0845  -0.0737   0.0108
27.20   0.0857  -0.0737   0.0121
27.30   0.0869  -0.0736   0.0133
27.40   0.0881  -0.0735   0.0146
27.50   0.0893  -0.0734   0.0158
27.60   0.0904  -0.0733   0.0171
27.70   0.0915  -0.0731   0.0184
27.80   0.0926  -0.0730   0.0196
27.90   0.0936  -0.0729   0.0208
28.00   0.0947  -0.0727   0.0220
28.10   0.0957  -0.0724   0.0232
28.20   0.0966  -0.0721   0.0245
28.30   0.0976  -0.0718   0.0257
28.40   0.0985  -0.0716   0.0269
28.50   0.0994  -0.0712   0.0281
28.60   0.1002  -0.0709   0.0293
28.70   0.1010  -0.0706   0.0304
28.80   0.1018  -0.0702   0.0316
28.90   0.1025  -0.0699   0.0327
29.00   0.1032  -0.0695   0.0337
29.10   0.1039  -0.0691   0.0348
29.20   0.1045  -0.0688   0.0358
29.30   0.1052  -0.0684   0.0368
29.40   0.1058  -0.0680   0.0378
29.50   0.1062  -0.0676   0.0388
29.60   0.1068  -0.0671   0.0397
29.70   0.1073  -0.0668   0.0405
29.80   0.1078  -0.0663   0.0414
29.90   0.1082  -0.0659   0.0422
30.00   0.1085  -0.0655   0.0431
