pressure (hPa)         ozone mixing ration (kg/kg)    
      363.007   5.7733668e-08
      367.879   5.7936124e-08
      372.817   5.8138580e-08
      377.822   5.8341036e-08
      382.893   5.8543492e-08
      388.032   5.8745948e-08
      393.241   5.8948404e-08
      398.519   5.9013987e-08
      403.868   5.9079570e-08
      409.289   5.9145152e-08
      414.783   5.9210735e-08
      420.350   5.9276318e-08
      425.993   5.9341901e-08
      431.711   5.9407483e-08
      437.505   5.9473066e-08
      443.378   5.9538649e-08
      449.329   5.9604232e-08
      455.360   5.9530209e-08
      461.472   5.9456186e-08
      467.667   5.9382161e-08
      473.944   5.9308138e-08
      480.305   5.9234115e-08
      486.752   5.9160093e-08
      493.286   5.9086070e-08
      499.907   5.9012047e-08
      506.617   5.8938025e-08
      513.417   5.8864002e-08
      520.309   5.8653379e-08
      527.293   5.8442755e-08
      534.370   5.8232132e-08
      541.543   5.8021509e-08
      548.812   5.7810886e-08
      556.178   5.7600263e-08
      563.644   5.7389640e-08
      571.209   5.7179017e-08
      578.876   5.6968394e-08
      586.646   5.6757771e-08
      594.521   5.6552395e-08
      602.501   5.6347020e-08
      610.588   5.6141644e-08
      618.783   5.5936269e-08
      627.089   5.5730893e-08
      635.506   5.5525518e-08
      644.036   5.5320142e-08
      652.681   5.5114767e-08
      661.442   5.4909392e-08
      670.320   5.4704016e-08
      679.318   5.3992638e-08
      688.436   5.3281258e-08
      697.676   5.2569879e-08
      707.041   5.1858499e-08
      716.531   5.1147120e-08
      726.149   5.0435740e-08
      735.896   4.9724360e-08
      745.773   4.9012981e-08
      755.784   4.8301601e-08
      765.928   4.7590222e-08
      776.209   4.7196741e-08
      786.628   4.6803261e-08
      797.187   4.6409766e-08
      807.887   4.6016285e-08
      818.731   4.5622804e-08
      829.721   4.5229323e-08
      840.857   4.4835842e-08
      852.144   4.4442361e-08
      863.582   4.4048880e-08
      875.174   4.3655399e-08
      886.921   4.2980107e-08
      898.825   4.2304815e-08
      910.890   4.1629522e-08
      923.117   4.0954230e-08
      935.507   4.0278937e-08
      948.064   3.9603645e-08
      960.790   3.8928353e-08
      973.686   3.8253060e-08
      986.755   3.7577768e-08
      1000.00   3.6902475e-08
