pressure (hPa)         ozone mixing ration (kg/kg)     
      326.280   7.6777316e-08
      330.659   7.7557553e-08
      335.098   7.8337790e-08
      339.596   7.9118026e-08
      344.154   7.9898263e-08
      348.773   8.0394446e-08
      353.455   8.0890628e-08
      358.199   8.1386811e-08
      363.007   8.1882994e-08
      367.879   8.2379177e-08
      372.817   8.2875360e-08
      377.822   8.3371542e-08
      382.893   8.3867725e-08
      388.032   8.4363908e-08
      393.241   8.4860090e-08
      398.519   8.4955317e-08
      403.868   8.5050544e-08
      409.289   8.5145771e-08
      414.783   8.5240998e-08
      420.350   8.5336225e-08
      425.993   8.5431453e-08
      431.711   8.5526680e-08
      437.505   8.5621907e-08
      443.378   8.5717134e-08
      449.329   8.5812361e-08
      455.360   8.5267691e-08
      461.472   8.4723022e-08
      467.667   8.4178333e-08
      473.944   8.3633663e-08
      480.305   8.3088994e-08
      486.752   8.2544324e-08
      493.286   8.1999655e-08
      499.907   8.1454985e-08
      506.617   8.0910316e-08
      513.417   8.0365646e-08
      520.309   7.9820629e-08
      527.293   7.9275613e-08
      534.370   7.8730596e-08
      541.543   7.8185579e-08
      548.812   7.7640563e-08
      556.178   7.7095546e-08
      563.644   7.6550529e-08
      571.209   7.6005513e-08
      578.876   7.5460496e-08
      586.646   7.4915480e-08
      594.521   7.4116336e-08
      602.501   7.3317192e-08
      610.588   7.2518047e-08
      618.783   7.1718903e-08
      627.089   7.0919759e-08
      635.506   7.0120615e-08
      644.036   6.9321471e-08
      652.681   6.8522327e-08
      661.442   6.7723183e-08
      670.320   6.6924039e-08
      679.318   6.5331367e-08
      688.436   6.3738693e-08
      697.676   6.2146019e-08
      707.041   6.0553345e-08
      716.531   5.8960671e-08
      726.149   5.7367997e-08
      735.896   5.5775323e-08
      745.773   5.4182650e-08
      755.784   5.2589976e-08
      765.928   5.0997303e-08
      776.209   4.9800710e-08
      786.628   4.8604118e-08
      797.187   4.7407484e-08
      807.887   4.6210892e-08
      818.731   4.5014299e-08
      829.721   4.3817707e-08
      840.857   4.2621115e-08
      852.144   4.1424523e-08
      863.582   4.0227931e-08
      875.174   3.9031339e-08
      886.921   3.8605264e-08
      898.825   3.8179189e-08
      910.890   3.7753114e-08
      923.117   3.7327039e-08
      935.507   3.6900965e-08
      948.064   3.6474890e-08
      960.790   3.6048815e-08
      973.686   3.5622740e-08
      986.755   3.5196665e-08
      1000.00   3.4770590e-08
